report_date,case_count
2020-12-11,1
2020-12-12,5
2020-12-14,4
2020-12-16,4
2020-12-17,4
2020-12-18,2
2020-12-19,7
2020-12-20,4
2020-12-21,5
2020-12-22,2
2020-12-23,3
2020-12-24,6
2020-12-25,2
2020-12-26,3
2020-12-27,3
2020-12-28,6
2020-12-29,4
2020-12-30,7
2020-12-31,3
2021-01-01,6
2021-01-02,8
2021-01-03,3
2021-01-04,1
2021-01-05,2
2021-01-06,2
2021-01-07,18
2021-01-08,4
2021-01-09,7
2021-01-10,9
2021-01-11,6
2021-01-12,2
2021-01-13,8
2021-01-14,5
2021-01-15,6
2021-01-16,5
2021-01-17,2
2021-01-18,2
2021-01-19,2
2021-01-20,3
2021-01-21,4
2021-01-22,3
2021-01-23,6
2021-01-24,6
2021-01-25,2
2021-01-26,1
2021-01-27,4
2021-01-28,5
2021-01-29,2
2021-02-01,1
2021-02-02,4
2021-02-03,3
2021-02-04,3
2021-02-05,2
2021-02-06,2
2021-02-08,1
2021-02-09,2
2021-02-10,2
2021-02-11,1
2021-02-12,4
2021-02-14,4
2021-02-15,1
2021-02-16,1
2021-02-17,3
2021-02-19,6
2021-02-20,2
2021-02-22,5
2021-02-23,4
2021-02-24,2
2021-02-25,1
2021-02-27,2
2021-02-28,2
2021-03-01,4
2021-03-02,1
2021-03-03,6
2021-03-05,9
2021-03-06,1
2021-03-07,7
2021-03-08,3
2021-03-09,1
2021-03-10,8
2021-03-11,1
2021-03-12,3
2021-03-13,1
2021-03-14,7
2021-03-15,1
2021-03-16,2
2021-03-17,7
2021-03-18,1
2021-03-19,5
2021-03-20,5
2021-03-21,5
2021-03-22,7
2021-03-23,3
2021-03-24,5
2021-03-25,3
2021-03-26,1
2021-03-27,2
2021-03-28,10
2021-03-29,2
2021-03-30,2
2021-03-31,5
2021-04-02,4
2021-04-03,1
2021-04-04,7
2021-04-05,10
2021-04-06,7
2021-04-07,19
2021-04-08,5
2021-04-09,8
2021-04-10,5
2021-04-11,8
2021-04-12,4
2021-04-13,1
2021-04-14,2
2021-04-15,2
2021-04-16,2
2021-04-17,2
2021-04-18,1
2021-04-20,1
2021-04-21,3
2021-04-23,2
2021-04-25,4
2021-04-26,4
2021-04-27,2
2021-04-28,2
2021-04-29,1
2021-04-30,4
2021-05-01,3
2021-05-02,4
2021-05-03,1
2021-05-04,4
2021-05-05,1
2021-05-06,5
2021-05-07,3
2021-05-08,1
2021-05-09,1
2021-05-11,1
2021-05-12,1
2021-05-15,1
2021-05-16,5
2021-05-17,1
2021-05-18,6
2021-05-19,1
2021-05-20,1
2021-05-21,3
2021-05-23,4
2021-05-24,2
2021-05-25,1
2021-05-27,1
2021-05-29,1
2021-05-30,2
2021-06-01,5
2021-06-02,2
2021-06-03,1
2021-06-04,2
2021-06-06,3
2021-06-07,4
2021-06-08,6
2021-06-09,1
2021-06-10,5
2021-06-11,4
2021-06-12,3
2021-06-14,1
2021-06-16,2
2021-06-17,1
2021-06-18,2
2021-06-19,2
2021-06-20,2
2021-06-22,4
2021-06-23,1
2021-06-24,2
2021-06-25,3
2021-06-26,3
2021-06-27,6
2021-06-28,5
2021-06-29,1
2021-06-30,1
2021-07-01,3
2021-07-02,3
2021-07-03,3
2021-07-04,9
2021-07-05,1
2021-07-06,5
2021-07-07,2
2021-07-10,3
2021-07-11,3
2021-07-12,15
2021-07-14,22
2021-07-15,2
2021-07-16,6
2021-07-17,4
2021-07-18,3
2021-07-19,6
2021-07-20,8
2021-07-21,6
2021-07-22,5
2021-07-23,3
2021-07-24,1
2021-07-26,2
2021-07-27,1
2021-07-28,6
2021-07-30,4
2021-08-01,4
2021-08-02,2
2021-08-03,2
2021-08-05,1
2021-08-06,2
2021-08-07,4
2021-08-08,12
2021-08-09,3
2021-08-10,3
2021-08-11,8
2021-08-13,3
2021-08-14,3
2021-08-15,4
2021-08-17,4
2021-08-18,6
